Date,RBCI,LIR
1890,51.36233983,3.42
1891,47.26616291,3.62
1892,52.04815502,3.6
1893,44.67333155,3.75
1894,57.2634338,3.7
1895,61.47033843,3.46
1896,60.06894543,3.6
1897,62.38489276,3.4
1898,61.4380382,3.35
1899,64.0446058,3.1
1900,49.42063381,3.15
1901,51.25232444,3.1
1902,50.5161651,3.18
1903,43.54354964,3.3
1904,47.08562106,3.4
1905,47.11098375,3.48
1906,51.76914843,3.43
1907,49.54470738,3.67
1908,50.12571412,3.87
1909,44.07166612,3.76
1910,37.98176672,3.91
1911,42.29755769,3.98
1912,42.25410832,4.01
1913,40.33646954,4.45
1914,34.47783935,4.16
1915,35.31752296,4.24
1916,47.29616865,4.05
1917,53.59430137,4.23
1918,42.64391738,4.57
1919,36.18271778,4.5
1920,40.27179997,4.97
1921,32.80518504,5.09
1922,34.43760958,4.3
1923,41.57111443,4.36
1924,40.36963713,4.06
1925,39.71851395,3.86
1926,38.806699,3.68
1927,39.90826985,3.34
1928,40.80371925,3.33
1929,41.93969439,3.6
1930,40.62221708,3.29
1931,39.67346769,3.34
1932,34.39721356,3.68
1933,43.07844416,3.31
1934,47.50403985,3.12
1935,45.83077321,2.79
1936,46.79908534,2.65
1937,52.19452665,2.68
1938,52.09138282,2.56
1939,52.83554543,2.36
1940,54.83643871,2.21
1941,56.18900573,1.95
1942,53.09349646,2.46
1943,50.87879093,2.47
1944,50.7115189,2.48
1945,50.41571181,2.37
1946,54.05276417,2.19
1947,54.66305279,2.25
1948,54.0249082,2.44
1949,55.07055159,2.31
1950,59.9171862,2.32
1951,59.2786986,2.57
1952,58.94343772,2.68
1953,60.8392201,2.83
1954,62.25447619,2.48
1955,65.95528267,2.61
1956,68.79148786,2.9
1957,69.24632104,3.46
1958,68.9257142,3.09
1959,70.95296772,4.02
1960,71.63614258,4.72
1961,71.568197,3.84
1962,72.59299982,4.08
1963,73.36701774,3.83
1964,74.36711732,4.17
1965,75.45724616,4.19
1966,76.74926786,4.61
1967,77.15051023,4.58
1968,79.39056457,5.53
1969,83.32303834,6.04
1970,83.04289525,7.79
1971,89.43618588,6.24
1972,95.74309566,5.95
1973,100.3045578,6.46
1974,97.09327155,6.99
1975,94.12250092,7.5
1976,96.23389798,7.74
1977,99.16550373,7.21
1978,100.56884,7.96
1979,100,9.1
1980,93.67720901,10.8
1981,90.5038767,12.57
1982,88.95277083,14.59
1983,91.52830102,10.46
1984,89.06159549,11.67
1985,86.30725178,11.38
1986,85.06563926,9.19
1987,85.80011747,7.08
1988,84.31285438,8.67
1989,81.66945023,9.09
1990,79.63498843,8.21
1991,76.74207454,8.09
1992,77.05381963,7.03
1993,78.88788054,6.6
1994,79.89887109,5.75
1995,77.7443098,7.78
1996,77.89285948,5.65
1997,79.39146429,6.58
1998,78.79060549,5.54
1999,78.98128131,4.72
2000,78.72200105,6.66
2001,76.6401607,5.16
2002,76.8135395,5.04
2003,76.31543516,4.05
2004,80.77302579,4.15
2005,82.79484772,4.22
2006,82.72701137,4.42
2007,83.19660676,4.76
2008,83.4461592,3.74
2009,84.80835495,2.52
2010,84.613931,3.73
2011,86.239088,3.39
2012,85.7096979,1.97
2013,86.05996591,1.91
2014,86.47191,2.86
2015,88.5254,1.88
2016,,2.09
2017,,2.43
2018,,2.83
